Idx_Sample;Mixture Code in Ref;FA (kg/m3);GGBFS (kg/m3);Total powder (kg/m3);Coarse aggregate (kg/m3);Fine aggregate (kg/m3);Total aggregates (kg);NaOH (kg);water-eff (kg);Weight mixture (kg);Initial curing temp (C);CO2 emissions (kg/m3) - a-priori;f,c(28d) (MPa) - MD1 Target
1543;FA-60 GGBS- 40 B-380 AGG/B-4.86 ALK/B-0.55 T ºC - 25;228;152;380;1070,455144;776,3448564;1846,8;59,71428571;137,0578571;2460,126429;25;158,5646743;
1544;FA-60 GGBS- 40 B-390 AGG/B-4.70 ALK/B-0.55 T ºC - 25;234;156;390;1057,564014;775,435986;1833;61,28571429;140,6646429;2462,456071;25;162,4250457;
1545;FA-60 GGBS- 40 B-400 AGG/B-4.54 ALK/B-0.55 T ºC - 25;240;160;400;1043,045024;772,954976;1816;62,85714286;144,2714286;2461,595714;25;166,2822771;
1546;FA-60 GGBS- 40 B-410 AGG/B-4.38 ALK/B-0.55 T ºC - 25;246;164;410;1026,649881;769,150119;1795,8;64,42857143;147,8782143;2457,535357;25;170,1241486;
1547;FA-60 GGBS- 40 B-420 AGG/B-4.23 ALK/B-0.55 T ºC - 25;252;168;420;1010,929815;765,670185;1776,6;66;151,485;2454,485;25;173,98304;
1548;FA-60 GGBS- 40 B-430 AGG/B-4.10 ALK/B-0.55 T ºC - 25;258;172;430;967,961046;795,038954;1763;67,57142857;155,0917857;2457,024643;25;177,8565914;
1549;FA-60 GGBS- 40 B-440 AGG/B-3.97 ALK/B-0.55 T ºC - 25;264;176;440;969,4600256;777,3399744;1746,8;69,14285714;158,6985714;2456,964286;25;181,7176629;
1550;FA-60 GGBS- 40 B-450 AGG/B-3.85 ALK/B-0.55 T ºC - 25;270;180;450;971,9619525;760,5380475;1732,5;70,71428571;162,3053571;2458,803929;25;185,5878543;41,85
1551;FA-50 GGBS- 50 B-360 AGG/B-5.18 ALK/B-0.55 T ºC - 25;180;180;360;1090,844597;773,9554032;1864,8;56,57142857;129,8442857;2445,837143;25;152,4891914;
1552;FA-50 GGBS- 50 B-370 AGG/B-5.02 ALK/B-0.55 T ºC - 25;185;185;370;1081,558448;775,8415522;1857,4;58,14285714;133,4510714;2454,586786;25;156,4527229;
1553;FA-50 GGBS- 50 B-380 AGG/B-4.86 ALK/B-0.55 T ºC - 25;190;190;380;1070,455144;776,3448564;1846,8;59,71428571;137,0578571;2460,126429;25;160,3886743;
1554;FA-50 GGBS- 50 B-390 AGG/B-4.70 ALK/B-0.55 T ºC - 25;195;195;390;1057,564014;775,435986;1833;61,28571429;140,6646429;2462,456071;25;164,2970457;
